;filename;Titel;Autor_normalisiert;Jahr;all_words_count;anteil_abstrakt;ant_narr_abstrakt;ant_narr_konkret;ant_dir_rede;ant_ind_rede;ant_rep;ant_free;abstconc_narr
101;k00100000135;Die verlorene Handschrift;Freytag, Gustav;1864;256064;0.04051330917270682;0.015096423474400626;0.02768992448202414;0.4711682210888916;0.07209335038781499;0.08335977650341689;0.003876514212249785;1.491.497.952.480.290
102;k00100000137;Virginia oder Die Kolonie von Kentucky;Frölich, Henriette;1819;56975;0.05769197016235191;0.017534611436339928;0.011181089254501569;0.3695535394532649;0.056762564163781774;0.08915781305956788;0.0066103617046675426;13.681.322.864.356.300
103;k00100000138;Schloß Hubertus;Ganghofer, Ludwig;1895;161645;0.03554703207646385;0.011379176107722868;0.04469820228980965;0.4405780557042844;0.0352066432965945;0.07017588168143292;0.010390253265580329;16.585.579.589.352.000
104;k00100000139;Der Ochsenkrieg;Ganghofer, Ludwig;1914;174909;0.031645026842529546;0.013122197444794191;0.029488717325325837;0.3567342102144804;0.024088162104514758;0.05640478729707313;0.012745585969901649;14.843.174.283.713.500
105;k00100000142;Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas;Gerstäcker, Friedrich;1846;146603;0.027530132398382028;0.013510422133408691;0.024396808095488;0.5427506641199588;0.052289841708928836;0.05939208325100441;0.005192210586401458;14.599.682.155.208.600
106;k00100000143;Die Flußpiraten des Mississippi. Aus dem Waldleben Amerikas.;Gerstäcker, Friedrich;1848;158064;0.029057849984816274;0.012692714510080451;0.021549835999017063;0.43816915794330985;0.06642713080628185;0.055098432647389735;0.01617126295541626;15.079.991.132.195.100
107;k00100000145;Die Leiden des jungen Werther;Goethe, Johann Wolfgang;1774;39505;0.04753828629287432;0.01389124174148738;0.01394771020385115;0.5406119900083264;0.09610741049125728;0.08213988343047461;0.009533721898417984;12.130.920.435.936.500
108;k00100000146;Wilhelm Meisters Lehrjahre;Goethe, Johann Wolfgang;1795;194211;0.04872535541241228;0.016618773946360153;0.012624521072796937;0.4120969115662304;0.1087394245930352;0.10349812842049172;0.004433263012609685;1.302.759.760.536.470
109;k00100000147;Die Wahlverwandtschaften;Goethe, Johann Wolfgang;1809;79163;0.04706744312368152;0.01545672674515931;0.011067090750144152;0.29076162554302465;0.0849900490059706;0.0960859423484346;0.008495794902523059;13.308.343.098.413.300
110;k00100000148;Wilhelm Meisters Wanderjahre;Goethe, Johann Wolfgang;1821;147362;0.03942671787842185;0.014063807419167972;0.010266257589735888;0.3423055226165943;0.09655656738927712;0.09510597391234273;0.003827955008576922;13.135.505.481.774.500
111;k00100000151;Wie Uli der Knecht glücklich wird;Gotthelf, Jeremias;1841;133773;0.026754277769056537;0.010802469135802469;0.011900789678567456;0.3890944154886527;0.18417984382779465;0.07327741049088995;0.007001909611712286;1.275.533.839.394.950
112;k00100000152;Geld und Geist;Gotthelf, Jeremias;1843;136250;0.02911559633027523;0.012945130813953487;0.012218386627906976;0.461507526495864;0.16062711518353762;0.07388525573999716;0.011879056357460605;1.264.462.330.426.360
113;k00100000153;Uli der Pächter;Gotthelf, Jeremias;1849;149766;0.03112188347154895;0.013690789624304586;0.01097781542617734;0.363986548799964;0.1467035562453607;0.07466203297568437;0.004897991317452818;13.145.218.983.951.400
114;k00100000157;Wally, die Zweiflerin;Gutzkow, Karl;1835;36183;0.04098609844402066;0.014441278638616759;0.014011943327738963;0.27030167805512945;0.06802863384930043;0.09419885650536884;0.02610049737368103;13.313.694.625.502.400
115;k00100000160;Europäisches Sklavenleben;Hackländer, Friedrich Wilhelm von;1854;360529;0.034441057446141635;0.013649745283260377;0.027135652663645902;0.4918338883412003;0.07635030461072975;0.08023687402608612;0.006671452000526992;14.872.649.002.892.900
116;k00100000161;Gräfin Faustine;Hahn-Hahn, Ida Gräfin von;1840;78046;0.055070086871844816;0.0206045036306918;0.020394788581015545;0.5312415724509906;0.06753448812363863;0.08090447049061299;0.008297894409293642;12.879.373.214.145.200
117;k00100000162;Sibylle;Hahn-Hahn, Ida Gräfin von;1846;111328;0.05149647887323944;0.020047622705276904;0.014229203471848837;0.5372916348065453;0.05531426823673345;0.08405719528979966;0.00819697201406943;13.131.239.918.580.500
118;k00100000163;Maria Regina;Hahn-Hahn, Ida Gräfin von;1860;228497;0.052928484837875336;0.01907034272230458;0.016052772392740288;0.5044711608310329;0.0735326165916025;0.0744297544675287;0.01750326892343455;14.435.496.188.563.400
119;k00100000164;Usong;Haller, Albrecht von;1771;56139;0.050481839719268236;0.014702674403385541;0.004231927053793464;0.16434904196309216;0.08214379004625005;0.06949801017193959;0.0019514143912969992;11.484.691.112.952.900
