;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count
235;Die Lehrlinge zu Sais;Novalis;1802;m;10756
236;Schloß und Fabrik;Otto, Louise;1846;f;113381
237;Nürnberg. Erster Band;Otto, Louise;1858;f;53070
238;Nürnberg. Zweiter Band;Otto, Louise;1858;f;48298
239;Nürnberg. Dritter Band;Otto, Louise;1858;f;49249
240;Godwie-Castle;Paalzow, Henriette von;1838;f;214251
241;Ste. Roche;Paalzow, Henriette von;1839;f;234510
242;Lienhard und Gertrud 1;Pestalozzi, Johann Heinrich;1781;m;70507
243;Lienhard und Gertrud 2;Pestalozzi, Johann Heinrich;1781;m;64333
244;Lienhard und Gertrud 3;Pestalozzi, Johann Heinrich;1781;m;82435
245;Lienhard und Gertrud 4;Pestalozzi, Johann Heinrich;1781;m;92335
246;Agathocles;Pichler, Karoline;1828;f;140642
247;Der Büttnerbauer;Polenz, Wilhelm von;1895;m;118329
248;Die Chronik der Sperlingsgasse;Raabe, Wilhelm;1857;m;48076
249;Der Hungerpastor;Raabe, Wilhelm;1863;m;142903
250;Die Leute aus dem Walde, ihre Sterne, Wege und Schicksale;Raabe, Wilhelm;1863;m;126260
251;Abu Telfan oder Die Heimkehr vom Mondgebirge;Raabe, Wilhelm;1867;m;116853
252;Der Schüdderump;Raabe, Wilhelm;1869;m;116443
253;Alte Nester;Raabe, Wilhelm;1879;m;83117
254;Im alten Eisen;Raabe, Wilhelm;1887;m;54456
255;Das Odfeld;Raabe, Wilhelm;1888;m;60204
256;Stopfkuchen. Eine See- und Mordgeschichte;Raabe, Wilhelm;1891;m;63364
257;Die Akten des Vogelsangs;Raabe, Wilhelm;1896;m;61255
258;Hastenbeck;Raabe, Wilhelm;1899;m;58805
259;Ellen Olestjerne;Reventlow, Franziska Gräfin zu;1903;f;61485
260;Von Paul zu Pedro;Reventlow, Franziska Gräfin zu;1912;f;20993
261;Herrn Dames Aufzeichnungen;Reventlow, Franziska Gräfin zu;1913;f;34505
262;Der Geldkomplex;Reventlow, Franziska Gräfin zu;1916;f;24826
263;Die Aufzeichnungen des Malte Laurids Brigge;Rilke, Rainer Maria;1910;m;59301
264;Die Schriften des Waldschulmeisters;Rosegger, Peter;1875;m;70761
265;Der Pedlar;Ruppius, Otto;1857;m;74963
266;Das Vermächtnis des Pedlars;Ruppius, Otto;1859;m;80898
267;Paralyse;Sack, Gustav;1913;m;20129
268;Tarub, Bagdads berühmte Köchin;Scheerbart, Paul;1897;m;51668
269;Liwûna und Kaidôh. Ein Seelenroman;Scheerbart, Paul;1901;m;18703
270;Immer mutig!;Scheerbart, Paul;1902;m;53466
271;Lesabéndio. Ein Asteroiden-Roman;Scheerbart, Paul;1913;m;49840
272;Ekkehard;Scheffel, Joseph Viktor von;1855;m;155761
273;Der Geisterseher;Schiller, Friedrich;1788;m;38044
274;Die Denkwürdigkeiten des Herrn v. H.;Schilling, Friedrich Gustav;1787;m;45970
275;Florentin;Schlegel, Dorothea;1801;f;56842
276;Lucinde;Schlegel, Friedrich;1799;m;29977
